mission,mission_key,package_size,cost_scenario,lethality_Pkill,survivability_mean_return_rate,sorties_per_day_per_tail,required_fleet_30day_campaign,cca_unit_cost_musd,cost_per_mission_kill_musd,pct_of_fa18ef_flyaway,pct_of_f35c_flyaway,combat_radius_nm_threshold,combat_radius_nm_desired
Air-to-Air (Fighter Sweep),AtA,2,target_15M,0.6367,0.81195,3.4285714285714284,13.283000000000003,15.0,11.088456101774774,0.21428571428571427,0.13537906137184116,500,700
Air-to-Air (Fighter Sweep),AtA,2,threshold_30M,0.6367,0.81195,3.4285714285714284,13.283000000000003,30.0,19.948986964033292,0.42857142857142855,0.27075812274368233,500,700
Air-to-Air (Fighter Sweep),AtA,4,target_15M,0.8754,0.8085875,3.4285714285714284,26.969499999999996,15.0,16.40887594242632,0.21428571428571427,0.13537906137184116,500,700
Air-to-Air (Fighter Sweep),AtA,4,threshold_30M,0.8754,0.8085875,3.4285714285714284,26.969499999999996,30.0,29.528307059629885,0.42857142857142855,0.27075812274368233,500,700
Air-to-Air (Fighter Sweep),AtA,6,target_15M,0.9554,0.8096916666666666,3.4285714285714284,40.25550000000001,15.0,22.45845719070546,0.21428571428571427,0.13537906137184116,500,700
Air-to-Air (Fighter Sweep),AtA,6,threshold_30M,0.9554,0.8096916666666666,3.4285714285714284,40.25550000000001,30.0,40.38576512455516,0.42857142857142855,0.27075812274368233,500,700
Strike,Strike,2,target_15M,0.78465,0.80495,3.4285714285714284,13.702999999999996,15.0,7.740613649397821,0.21428571428571427,0.13537906137184116,500,700
Strike,Strike,2,threshold_30M,0.78465,0.80495,3.4285714285714284,13.702999999999996,30.0,15.198078761231121,0.42857142857142855,0.27075812274368233,500,700
Strike,Strike,4,target_15M,0.95385,0.8021625,3.4285714285714284,27.7405,15.0,12.912045919169682,0.21428571428571427,0.13537906137184116,500,700
Strike,Strike,4,threshold_30M,0.95385,0.8021625,3.4285714285714284,27.7405,30.0,25.35661267494889,0.42857142857142855,0.27075812274368233,500,700
Strike,Strike,6,target_15M,0.9895,0.8028416666666667,3.4285714285714284,41.4885,15.0,18.60876200101061,0.21428571428571427,0.13537906137184116,500,700
Strike,Strike,6,threshold_30M,0.9895,0.8028416666666667,3.4285714285714284,41.4885,30.0,36.54130368873168,0.42857142857142855,0.27075812274368233,500,700
